Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
133,4077,1.27E+//0-,4.02,13.3
135,481,1.50E+//0-,1.38,16.4
136,20,0.0624,0.28,21
137,29000,9.04E+//0-,10.73,10.5
138,118,0.368,0.68,18.4
139,25513,7.95E+//0-,10.06,10.7
140,979,3.05E+//0-,1.97,15.4
141,166,0.518,0.81,17.9
142,1063,3.31E+//0-,2.05,15.2
143,94,0.293,0.61,18.7
144,542,1.69E+//0-,1.47,16.2
145,2176,6.78E+//0-,2.94,14.2
146,99,0.309,0.63,18.7
147,2012,6.27E+//0-,2.83,14.3
148,2637,8.22E+//0-,3.24,13.9
149,1783,5.56E+//0-,2.66,14.5
150,8,0.0249,0.18,22.3
151,149,0.465,0.77,18.1
153,2,0.00624,0.09,24.3
155,5910,1.84E+//0-,4.84,12.8
156,2,0.00624,0.09,24.3
157,1237,3.86E+//0-,2.22,15
159,5243,1.64E+//0-,4.56,12.9
160,852,2.66E+//0-,1.84,15.6
161,21,0.0655,0.29,20.9
162,3254,1.01E+//0-,3.59,13.6
163,218,0.68,0.93,17.5
164,7188,2.24E+//0-,5.34,12.5
165,112,0.349,0.67,18.5
166,56,0.175,0.47,19.5
167,77,0.24,0.55,19
168,4395,1.37E+//0-,4.18,13.2
170,1512,4.71E+//0-,2.45,14.7
171,13,0.0405,0.23,21.6
172,1079,3.36E+//0-,2.07,15.2
173,6233,1.94E+//0-,4.97,12.7
174,7393,2.31E+//0-,5.42,12.5
175,17,0.053,0.26,21.2
178,158,0.493,0.79,18
179,16,0.0499,0.25,21.3
181,1346,4.20E+//0-,2.31,14.9
182,495,1.54E+//0-,1.4,16.4
183,252,0.786,1,17.3
184,2,0.00624,0.09,24.3
185,49,0.153,0.44,19.7
186,475,1.48E+//0-,1.37,16.4
189,89,0.278,0.59,18.8
190,10,0.0312,0.2,22
37640,8165,2.55E+//0-,5.69,12.3
37641,8907,2.78E+//0-,5.95,12.2
37642,598,1.86E+//0-,1.54,16.1
37643,27322,8.52E+//0-,10.41,10.6
37644,2,0.00624,0.09,24.3
37645,132,0.412,0.72,18.3
37646,3057,9.53E+//0-,3.48,13.7
37647,3455,1.08E+//0-,3.7,13.5
37648,1788,5.57E+//0-,2.66,14.5
37649,1641,5.12E+//0-,2.55,14.6
37651,5347,1.67E+//0-,4.61,12.9
37652,59,0.184,0.48,19.4
37653,3576,1.12E+//0-,3.77,13.5
37654,9596,2.99E+//0-,6.17,12.1
37655,1354,4.22E+//0-,2.32,14.9
37657,12767,3.98E+//0-,7.12,11.7
37658,1856,5.79E+//0-,2.71,14.4
37659,16,0.0499,0.25,21.3
37660,3766,1.17E+//0-,3.87,13.4
37661,1913,5.96E+//0-,2.76,14.4
37662,14240,4.44E+//0-,7.52,11.5
37663,74,0.231,0.54,19.1
37665,339,1.06E+//0-,1.16,16.9
37667,2,0.00624,0.09,24.3
37668,427,1.33E+//0-,1.3,16.6
37670,216,0.673,0.93,17.5
37672,5066,1.58E+//0-,4.48,13
37673,2387,7.44E+//0-,3.08,14.1
37674,272,0.848,1.04,17.2
37678,7212,2.25E+//0-,5.35,12.5
