Phase Identity,Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
2,24816,3,0.00935,0.11,23.7
2,24839,2,0.00624,0.09,24.3
2,24840,3,0.00935,0.11,23.7
2,24842,3,0.00935,0.11,23.7
2,24849,2,0.00624,0.09,24.3
2,24851,2,0.00624,0.09,24.3
2,24857,2,0.00624,0.09,24.3
2,24865,3,0.00935,0.11,23.7
2,24867,2,0.00624,0.09,24.3
2,24881,2,0.00624,0.09,24.3
2,24908,2,0.00624,0.09,24.3
2,24909,2,0.00624,0.09,24.3
2,24931,2829,8.82E+//0-,3.35,13.8
2,24943,2,0.00624,0.09,24.3
2,24953,2,0.00624,0.09,24.3
2,24961,4,0.0125,0.13,23.3
2,24970,4,0.0125,0.13,23.3
2,24971,2,0.00624,0.09,24.3
2,24972,4,0.0125,0.13,23.3
2,24985,161,0.502,0.8,18
2,24996,7,0.0218,0.17,22.5
2,25044,258,0.804,1.01,17.3
2,25070,4,0.0125,0.13,23.3
2,25075,2,0.00624,0.09,24.3
2,25088,56,0.175,0.47,19.5
2,25093,3,0.00935,0.11,23.7
2,25130,113,0.352,0.67,18.5
2,25140,4,0.0125,0.13,23.3
2,25160,3,0.00935,0.11,23.7
2,25171,2,0.00624,0.09,24.3
2,25181,2,0.00624,0.09,24.3
2,25183,2,0.00624,0.09,24.3
2,25186,2,0.00624,0.09,24.3
2,25188,3,0.00935,0.11,23.7
2,25220,2,0.00624,0.09,24.3
2,25225,5,0.0156,0.14,23
2,25238,9,0.0281,0.19,22.1
2,25264,3,0.00935,0.11,23.7
2,25265,2,0.00624,0.09,24.3
2,25266,2,0.00624,0.09,24.3
2,25276,13,0.0405,0.23,21.6
2,25300,2,0.00624,0.09,24.3
2,25301,2,0.00624,0.09,24.3
2,25302,2,0.00624,0.09,24.3
2,25303,2,0.00624,0.09,24.3
2,25308,3,0.00935,0.11,23.7
2,25327,477,1.49E+//0-,1.38,16.4
2,25364,2,0.00624,0.09,24.3
2,25368,2,0.00624,0.09,24.3
2,25370,2,0.00624,0.09,24.3
2,25381,2,0.00624,0.09,24.3
2,25400,5,0.0156,0.14,23
2,25429,2,0.00624,0.09,24.3
2,25487,4,0.0125,0.13,23.3
2,25488,2,0.00624,0.09,24.3
2,25510,4,0.0125,0.13,23.3
2,25512,2,0.00624,0.09,24.3
2,25513,2,0.00624,0.09,24.3
2,25537,2,0.00624,0.09,24.3
2,25571,2,0.00624,0.09,24.3
2,25588,2,0.00624,0.09,24.3
2,25608,4,0.0125,0.13,23.3
2,25618,2,0.00624,0.09,24.3
2,25620,3,0.00935,0.11,23.7
2,25644,2,0.00624,0.09,24.3
2,25648,2,0.00624,0.09,24.3
2,25654,2,0.00624,0.09,24.3
2,25677,2,0.00624,0.09,24.3
2,25708,8,0.0249,0.18,22.3
2,25713,2,0.00624,0.09,24.3
2,25721,3,0.00935,0.11,23.7
2,25722,3,0.00935,0.11,23.7
2,25749,2,0.00624,0.09,24.3
2,25784,2,0.00624,0.09,24.3
2,25803,2,0.00624,0.09,24.3
2,25820,2,0.00624,0.09,24.3
2,25823,2,0.00624,0.09,24.3
2,25833,5,0.0156,0.14,23
2,25861,2,0.00624,0.09,24.3
2,25893,4,0.0125,0.13,23.3
2,25904,2,0.00624,0.09,24.3
2,25905,2,0.00624,0.09,24.3
2,25909,2,0.00624,0.09,24.3
2,25927,2,0.00624,0.09,24.3
2,25928,968,3.02E+//0-,1.96,15.4
2,25937,383,1.19E+//0-,1.23,16.7
2,25940,2,0.00624,0.09,24.3
2,25943,2,0.00624,0.09,24.3
2,25992,3,0.00935,0.11,23.7
2,26020,313,0.976,1.11,17
2,26028,2,0.00624,0.09,24.3
2,26063,36,0.112,0.38,20.1
2,26067,2,0.00624,0.09,24.3
2,26081,13,0.0405,0.23,21.6
2,26086,2,0.00624,0.09,24.3
2,26087,3,0.00935,0.11,23.7
2,26125,2,0.00624,0.09,24.3
2,26138,224,0.698,0.94,17.5
2,26153,2,0.00624,0.09,24.3
2,26179,3,0.00935,0.11,23.7
2,26180,2,0.00624,0.09,24.3
2,26190,2,0.00624,0.09,24.3
2,26216,145,0.452,0.76,18.1
2,26233,2,0.00624,0.09,24.3
2,26240,2,0.00624,0.09,24.3
2,26273,2,0.00624,0.09,24.3
2,26291,2,0.00624,0.09,24.3
2,26319,2,0.00624,0.09,24.3
2,26380,3,0.00935,0.11,23.7
2,26392,2,0.00624,0.09,24.3
2,26398,2,0.00624,0.09,24.3
2,26399,2,0.00624,0.09,24.3
2,26401,2,0.00624,0.09,24.3
2,26406,2,0.00624,0.09,24.3
2,26422,6860,2.14E+//0-,5.22,12.6
2,26428,2,0.00624,0.09,24.3
2,26455,3,0.00935,0.11,23.7
2,26509,2,0.00624,0.09,24.3
2,26535,2,0.00624,0.09,24.3
2,26540,254,0.792,1,17.3
2,26550,2,0.00624,0.09,24.3
2,26569,6,0.0187,0.15,22.7
2,26618,2,0.00624,0.09,24.3
2,26623,2,0.00624,0.09,24.3
2,26626,2,0.00624,0.09,24.3
2,26635,4,0.0125,0.13,23.3
2,26638,2,0.00624,0.09,24.3
2,26639,2,0.00624,0.09,24.3
2,26640,3,0.00935,0.11,23.7
2,26655,2,0.00624,0.09,24.3
2,26661,2,0.00624,0.09,24.3
2,26671,2,0.00624,0.09,24.3
2,26724,2,0.00624,0.09,24.3
2,26735,2,0.00624,0.09,24.3
2,26736,2,0.00624,0.09,24.3
2,26750,2,0.00624,0.09,24.3
2,26763,3,0.00935,0.11,23.7
2,26770,53,0.165,0.46,19.6
2,26808,2,0.00624,0.09,24.3
2,26824,2,0.00624,0.09,24.3
2,26870,2,0.00624,0.09,24.3
2,26877,2,0.00624,0.09,24.3
2,26881,2,0.00624,0.09,24.3
2,26886,3,0.00935,0.11,23.7
2,26914,2,0.00624,0.09,24.3
2,26920,2,0.00624,0.09,24.3
2,26926,3,0.00935,0.11,23.7
2,26933,3,0.00935,0.11,23.7
2,26957,3,0.00935,0.11,23.7
2,26991,2,0.00624,0.09,24.3
2,27010,3,0.00935,0.11,23.7
2,27094,3,0.00935,0.11,23.7
2,27129,7,0.0218,0.17,22.5
2,27131,2,0.00624,0.09,24.3
2,27154,2,0.00624,0.09,24.3
2,27164,2,0.00624,0.09,24.3
2,27194,2,0.00624,0.09,24.3
2,27239,2,0.00624,0.09,24.3
2,27240,2,0.00624,0.09,24.3
2,27272,2,0.00624,0.09,24.3
2,27274,2,0.00624,0.09,24.3
2,27307,2,0.00624,0.09,24.3
2,27315,3,0.00935,0.11,23.7
2,27332,2,0.00624,0.09,24.3
2,27339,4,0.0125,0.13,23.3
2,27347,2,0.00624,0.09,24.3
2,27365,2,0.00624,0.09,24.3
2,27381,2,0.00624,0.09,24.3
2,27417,2,0.00624,0.09,24.3
2,27449,7,0.0218,0.17,22.5
2,27451,2,0.00624,0.09,24.3
2,27456,2,0.00624,0.09,24.3
2,27572,2,0.00624,0.09,24.3
2,27577,2,0.00624,0.09,24.3
2,27637,448,1.40E+//0-,1.33,16.5
2,27651,2,0.00624,0.09,24.3
2,27676,2,0.00624,0.09,24.3
2,27688,2,0.00624,0.09,24.3
2,27697,2,0.00624,0.09,24.3
2,27713,2,0.00624,0.09,24.3
2,27741,252,0.786,1,17.3
2,27746,2,0.00624,0.09,24.3
2,27796,2,0.00624,0.09,24.3
2,27802,2,0.00624,0.09,24.3
2,27803,2,0.00624,0.09,24.3
2,27834,2,0.00624,0.09,24.3
2,27837,3,0.00935,0.11,23.7
2,27838,7,0.0218,0.17,22.5
2,27850,2,0.00624,0.09,24.3
2,27894,2,0.00624,0.09,24.3
2,27907,3,0.00935,0.11,23.7
2,27913,15,0.0468,0.24,21.4
2,27914,2,0.00624,0.09,24.3
2,27918,2,0.00624,0.09,24.3
2,27932,2,0.00624,0.09,24.3
2,27939,2,0.00624,0.09,24.3
2,27960,2,0.00624,0.09,24.3
2,27977,2,0.00624,0.09,24.3
2,27981,2,0.00624,0.09,24.3
2,28028,2,0.00624,0.09,24.3
2,28042,2,0.00624,0.09,24.3
2,28062,2,0.00624,0.09,24.3
2,28069,2,0.00624,0.09,24.3
2,28070,3,0.00935,0.11,23.7
2,28093,2,0.00624,0.09,24.3
2,28147,44,0.137,0.42,19.8
2,28149,2,0.00624,0.09,24.3
2,28151,2,0.00624,0.09,24.3
2,28154,3,0.00935,0.11,23.7
2,28179,2,0.00624,0.09,24.3
2,28188,2,0.00624,0.09,24.3
2,28193,2,0.00624,0.09,24.3
2,28200,2,0.00624,0.09,24.3
2,28207,30,0.0935,0.35,20.4
2,28238,2,0.00624,0.09,24.3
2,28246,2,0.00624,0.09,24.3
2,28273,2,0.00624,0.09,24.3
2,28294,2,0.00624,0.09,24.3
2,28295,39,0.122,0.39,20
2,28297,2,0.00624,0.09,24.3
2,28321,150,0.468,0.77,18.1
2,28323,2,0.00624,0.09,24.3
2,28349,2,0.00624,0.09,24.3
2,28351,2,0.00624,0.09,24.3
2,28364,2,0.00624,0.09,24.3
